l1,net_value,tokens,tokens,uni,uni,uni,uni,uni,uni,uni,aave,aave,aave,aave,aave,aave,aave,aave,aave,aave,aave,aave,aave,price,price,price
l2,,USDC,WETH,net_value,liquidity_value,base_uncollected,quote_uncollected,base_in_position,quote_in_position,position_count,net_value,supplies_count,borrows_count,borrows_value,supplies_value,collaterals_value,health_factor,max_ltv,ltv,liquidation_threshold,supply_apy,borrow_apy,net_apy,WETH,USDC,USD
2023-08-14 04:02:00,1000.0192309097214305351570209819096,0.60418975250109345602836034387553,0,838.22234115722033707912866063803411,838.20191581713700605280477755770587,0.0000047259379751110700166184156288170136,0.011705181626523572607549598236383462,0.20234831701622391176359241027969449,464.83489383282697020501138153657786,1,161.1927,1,1,379.8929,541.0856,541.0856,1.2107,0.8250,0.70209393905448567863457255870227047,0.8500,0.0582,0.0211,0.14563588630254347746517056913867688,1845.1698906612312587352437665367858,1845.1698906612312587352437665367858,1845.1698906612312587352437665367858
2023-08-14 04:03:00,1000.0197099519338129441971539842885,0.60418975250109345602836034387553,0,838.22282019943271948816879364041298,838.20191581713700605280477755770587,0.0000047273698431966085941274758200286896,0.012181581799027147124092908050938535,0.20234831701622391176359241027969449,464.83489383282697020501138153657786,1,161.1927,1,1,379.8929,541.0856,541.0856,1.2107,0.8250,0.70209393905448567863457255870227047,0.8500,0.0582,0.0211,0.14563588630254347746517056913867688,1845.1698906612312587352437665367858,1845.1698906612312587352437665367858,1845.1698906612312587352437665367858
2023-08-14 04:04:00,1000.0169093662865479504238058576550,0.60418975250109345602836034387553,0,838.37201961378545449439544551377946,838.35111120668205201721072785248895,0.0000047276597623406525366202490001954815,0.012181581799027147124092908050938535,0.20187741372412713959277398486598718,465.70396419682134894278389861798715,1,161.0407,1,1,380.0449,541.0856,541.0856,1.2102,0.8250,0.70237493104035245072873762181595642,0.8500,0.0582,0.0211,0.14575343084077503388894857014406917,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932
2023-08-14 04:05:00,1000.0170104414058309587882538776340,0.60418975250109345602836034387553,0,838.37202068890473750275989353375842,838.35111120668205201721072785248895,0.0000047282421961578445499441065202644288,0.012181581799027147124092908050938535,0.20187741372412713959277398486598718,465.70396419682134894278389861798715,1,161.0408,1,1,380.0449,541.0857,541.0857,1.2102,0.8250,0.70237472954034922855695179686896996,0.8500,0.0580,0.0211,0.14508139061653941113059547642584985,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932
2023-08-14 04:06:00,1000.0170109074989347527072509748506,0.60418975250109345602836034387553,0,838.37202115499784129667889063097511,838.35111120668205201721072785248895,0.0000047284946968709281729450950410237989,0.012181581799027147124092908050938535,0.20187741372412713959277398486598718,465.70396419682134894278389861798715,1,161.0408,1,1,380.0449,541.0857,541.0857,1.2102,0.8250,0.70237472954034922855695179686896996,0.8500,0.0580,0.0211,0.14508139061653941113059547642584985,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932
2023-08-14 04:07:00,1000.0172109345493444148764729432192,0.60418975250109345602836034387553,0,838.37202118204825095884811259934363,838.35111120668205201721072785248895,0.0000047285093511270699283011452669917318,0.012181581799027147124092908050938535,0.20187741372412713959277398486598718,465.70396419682134894278389861798715,1,161.0410,1,1,380.0449,541.0859,541.0859,1.2102,0.8250,0.70237453352312033299349260693983570,0.8500,0.0580,0.0211,0.14508128246843971411007134829018697,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932
2023-08-14 04:08:00,1000.0172194233251259192242453772321,0.60418975250109345602836034387553,0,838.37202967082403246319588503335658,838.35111120668205201721072785248895,0.0000047331080502294375562370687071694909,0.012181581799027147124092908050938535,0.20187741372412713959277398486598718,465.70396419682134894278389861798715,1,161.0410,1,1,380.0449,541.0859,541.0859,1.2102,0.8250,0.70237453352312033299349260693983570,0.8500,0.0580,0.0211,0.14508128246843971411007134829018697,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932
2023-08-14 04:09:00,1000.0172194233251259192242453772321,0.60418975250109345602836034387553,0,838.37202967082403246319588503335658,838.35111120668205201721072785248895,0.0000047331080502294375562370687071694909,0.012181581799027147124092908050938535,0.20187741372412713959277398486598718,465.70396419682134894278389861798715,1,161.0410,1,1,380.0449,541.0859,541.0859,1.2102,0.8250,0.70237453352312033299349260693983570,0.8500,0.0580,0.0211,0.14508128246843971411007134829018697,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932
2023-08-14 04:10:00,1000.0174194233251259192242453772321,0.60418975250109345602836034387553,0,838.37202967082403246319588503335658,838.35111120668205201721072785248895,0.0000047331080502294375562370687071694909,0.012181581799027147124092908050938535,0.20187741372412713959277398486598718,465.70396419682134894278389861798715,1,161.0412,1,1,380.0449,541.0861,541.0861,1.2102,0.8250,0.70237430483597202777922709601560992,0.8500,0.0580,0.0211,0.14508117432060863927988614093784696,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932
2023-08-14 04:11:00,1000.0173662215735877893573080473976,0.60418975250109345602836034387553,0,838.37207646907249433332894770352212,838.35111120668205201721072785248895,0.0000047331080502294375562370687071694909,0.012228380047489017257155578216484541,0.20187741372412713959277398486598718,465.70396419682134894278389861798715,1,161.0411,1,1,380.0450,541.0861,541.0861,1.2102,0.8250,0.70237444435206953679245810853730322,0.8500,0.0569,0.0210,0.14162132579819685782076749351563048,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932,1845.9080693350700549922473793160932
